,Factor_1,Factor_2,Factor_3
NP2SPCH,0.5055203814053073,0.4543499032136821,0.06367368025721887
NP2SALV,0.4757369297823129,0.3911211546460389,0.012999112809318897
NP2SWAL,0.39568048566401726,0.3711389161703322,0.0764920208517516
NP2EAT,0.6694017654702109,0.2671617148974232,0.22739556173652464
NP2DRES,0.2746006184616615,0.09112763684246965,0.7344607022372219
NP2HYGN,0.5128093166869865,0.3846371239081866,0.2578742602856832
NP2HWRT,0.4177472214330773,0.18358585716753598,0.2680242628263764
NP2HOBB,0.5441364283486032,0.4681089080160188,0.2173375211803341
NP2TURN,0.3107385835722375,0.5593628942031641,0.2814621233972039
NP2TRMR,0.2887518156868269,0.05928576222266926,0.046029723047846256
NP2RISE,0.0325839958789013,0.3156907051983036,0.7321175779476249
NP2WALK,0.2625378056565191,0.6949388480021521,0.20351361606846136
NP2FREZ,0.19360375256367116,0.5075821485316128,0.24662661792599022
