,Clinical Measure,Feature,R-Squared,Slope Group 0,Slope Group 1,P-Val 0_1,Slope Group 2,P-Val 0_2,P-val 1_2,Int Group 0,Int Group 1,C P-Val 0_1,Int Group 2,C P-Val 0_2,C P-val 1_2
0,MDS-UPDRS,NP3TOT,0.152,0.15 ± 0.03,0.20 ± 0.03,0.002,0.17 ± 0.03,0.158,0.089,-0.66 ± 0.11,-0.65 ± 0.13,0.831,-0.50 ± 0.14,0.021,0.009
1,QOLLOWERExtremity,Total,0.105,-0.06 ± 0.02,-0.05 ± 0.02,0.352,-0.07 ± 0.02,0.206,0.01,0.38 ± 0.11,0.30 ± 0.13,0.209,0.37 ± 0.14,0.836,0.229
2,QOLUPPERExtremity,Total,0.058,-0.02 ± 0.01,-0.02 ± 0.02,0.471,-0.05 ± 0.02,0.013,0.0,0.14 ± 0.08,0.14 ± 0.10,0.988,0.21 ± 0.10,0.165,0.098
3,SchwabEngland,MSEADLG,0.135,-0.09 ± 0.01,-0.09 ± 0.02,0.793,-0.11 ± 0.02,0.078,0.062,0.36 ± 0.06,0.33 ± 0.07,0.342,0.37 ± 0.08,0.926,0.241
4,MotorFunction,Total,0.154,0.07 ± 0.02,0.06 ± 0.02,0.361,0.08 ± 0.02,0.516,0.068,-0.44 ± 0.12,-0.33 ± 0.15,0.135,-0.49 ± 0.15,0.543,0.014
5,MOCA,MCATOT,0.005,0.00 ± 0.01,0.01 ± 0.01,0.058,0.01 ± 0.01,0.18,0.661,-0.01 ± 0.04,-0.04 ± 0.04,0.327,-0.04 ± 0.05,0.25,0.74
6,HOPKINSVERBAL,HVLTTOT,0.202,-0.47 ± 0.04,-0.49 ± 0.05,0.49,-0.48 ± 0.06,0.641,0.841,2.33 ± 0.24,2.17 ± 0.28,0.266,2.08 ± 0.31,0.118,0.494
7,TrailMaking,Total,0.01,0.13 ± 0.11,0.13 ± 0.14,0.965,0.04 ± 0.14,0.192,0.13,-0.74 ± 0.69,-0.67 ± 0.85,0.885,-0.32 ± 0.88,0.354,0.346
8,LNSeq,LNS,0.009,-0.02 ± 0.01,-0.01 ± 0.01,0.213,-0.02 ± 0.01,0.402,0.017,0.04 ± 0.05,0.05 ± 0.05,0.589,0.06 ± 0.06,0.519,0.846
9,SymbolDigit,SDMTOTAL,0.011,-0.03 ± 0.02,-0.02 ± 0.02,0.628,-0.05 ± 0.03,0.041,0.003,0.18 ± 0.09,0.07 ± 0.11,0.041,0.14 ± 0.12,0.535,0.133
10,SemanticFluency,Total,0.168,-0.22 ± 0.03,-0.23 ± 0.03,0.94,-0.19 ± 0.04,0.109,0.041,0.78 ± 0.12,0.76 ± 0.14,0.837,0.68 ± 0.15,0.188,0.163
11,BostonNaming,Total,0.002,-0.01 ± 0.03,-0.01 ± 0.04,0.868,-0.02 ± 0.04,0.572,0.625,-0.02 ± 0.21,0.07 ± 0.26,0.491,0.09 ± 0.27,0.419,0.863
12,LexFL,LEXFLTOT,0.023,-0.03 ± 0.02,-0.04 ± 0.03,0.512,-0.02 ± 0.03,0.431,0.091,0.09 ± 0.15,0.28 ± 0.19,0.053,0.13 ± 0.20,0.702,0.076
13,SCOPA,Total,0.058,0.11 ± 0.03,0.10 ± 0.03,0.611,0.11 ± 0.04,0.788,0.358,-0.54 ± 0.13,-0.32 ± 0.16,0.005,-0.39 ± 0.17,0.082,0.323
14,Anxiety,Total,0.011,-0.01 ± 0.01,-0.01 ± 0.01,0.386,-0.02 ± 0.01,0.225,0.015,0.04 ± 0.04,0.05 ± 0.05,0.514,0.03 ± 0.05,0.654,0.2
15,EPWORTH,ESSTOT,0.096,-0.13 ± 0.02,-0.16 ± 0.03,0.086,-0.15 ± 0.03,0.24,0.633,0.66 ± 0.11,0.66 ± 0.13,0.989,0.73 ± 0.15,0.357,0.247
16,REM,Total,0.032,0.04 ± 0.01,0.05 ± 0.02,0.592,0.05 ± 0.02,0.409,0.677,-0.22 ± 0.07,-0.16 ± 0.08,0.086,-0.14 ± 0.09,0.049,0.606
17,MDS-UPDRS,NP1TOT,0.086,0.10 ± 0.02,0.12 ± 0.03,0.077,0.12 ± 0.03,0.05,0.668,-0.50 ± 0.09,-0.41 ± 0.11,0.131,-0.35 ± 0.12,0.025,0.281
18,MDS-UPDRS,NP2PTOT,0.128,0.15 ± 0.02,0.15 ± 0.03,0.983,0.15 ± 0.03,0.874,0.865,-0.64 ± 0.09,-0.54 ± 0.11,0.087,-0.46 ± 0.12,0.006,0.135
19,QOLCOMMUNICATION,Total,0.053,-0.03 ± 0.01,-0.03 ± 0.02,0.491,-0.04 ± 0.02,0.327,0.049,0.16 ± 0.08,0.16 ± 0.10,0.867,0.21 ± 0.10,0.421,0.245
20,QOLCOGNITION,Total,0.061,-0.04 ± 0.01,-0.02 ± 0.02,0.061,-0.04 ± 0.02,0.758,0.012,0.26 ± 0.09,0.15 ± 0.10,0.044,0.21 ± 0.11,0.341,0.238
